,j_d,g_d,h_d,events,event,calender_type
575,"(1397, 5, 21)",2018-08-12,"(1439, 12, 1)",امرداد شهادت امام محمد تقی علیه السلام [٢٩ ذوالقعده],امرداد شهادت امام محمد تقی علیه السلام,h
576,"(1397, 5, 22)",2018-08-13,"(1439, 12, 2)",امرداد روز جهانی چپ دست‌ها [۱۳ august],امرداد روز جهانی چپ دست‌ها,g
577,"(1397, 5, 26)",2018-08-17,"(1439, 12, 6)",امرداد سالروز ورود آزادگان سرافراز به وطن,امرداد سالروز ورود آزادگان سرافراز به وطن,j
578,"(1397, 5, 28)",2018-08-19,"(1439, 12, 8)",امرداد شهادت امام محمد باقر علیه السلام [٧ ذوالحجه],امرداد شهادت امام محمد باقر علیه السلام,h
579,"(1397, 5, 28)",2018-08-19,"(1439, 12, 8)",امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,j
580,"(1397, 5, 28)",2018-08-19,"(1439, 12, 8)",امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,j
581,"(1397, 5, 28)",2018-08-19,"(1439, 12, 8)",امرداد روز جهانی عکاسی [۱۹ august],امرداد روز جهانی عکاسی,g
582,"(1397, 5, 30)",2018-08-21,"(1439, 12, 10)",امرداد روز عرفه [٩ ذوالحجه],امرداد روز عرفه,h
583,"(1397, 5, 31)",2018-08-22,"(1439, 12, 11)",امرداد عید سعید قربان [١٠ ذوالحجه],امرداد عید سعید قربان,h
584,"(1397, 6, 1)",2018-08-23,"(1439, 12, 12)",روز بزرگداشت ابوعلی سینا و روز پزشک,روز بزرگداشت ابوعلی سینا و روز پزشک,j
585,"(1397, 6, 2)",2018-08-24,"(1439, 12, 13)",آغاز هفته دولت,آغاز هفته دولت,j
586,"(1397, 6, 4)",2018-08-26,"(1439, 12, 15)",زادروز داراب (کوروش),زادروز داراب (کوروش),j
587,"(1397, 6, 4)",2018-08-26,"(1439, 12, 15)",روز، جشن شهریورگان,روز، جشن شهریورگان,j
