,j_d,g_d,h_d,events,event,calender_type
1203,"(1400, 9, 12)",2021-12-03,"(1443, 4, 28)",روز جهانی معلولان [۳ december],روز جهانی معلولان,g
1204,"(1400, 9, 13)",2021-12-04,"(1443, 4, 29)",روز بیمه,روز بیمه,j
1205,"(1400, 9, 15)",2021-12-06,"(1443, 5, 2)",روز حسابدار,روز حسابدار,j
1206,"(1400, 9, 16)",2021-12-07,"(1443, 5, 3)",روز دانشجو,روز دانشجو,j
1207,"(1400, 9, 19)",2021-12-10,"(1443, 5, 6)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
1208,"(1400, 9, 20)",2021-12-11,"(1443, 5, 7)",روز جهانی کوه نوردی [۱۱ december],روز جهانی کوه نوردی,g
1209,"(1400, 9, 25)",2021-12-16,"(1443, 5, 12)",روز پژوهش,روز پژوهش,j
1210,"(1400, 9, 26)",2021-12-17,"(1443, 5, 13)",روز حمل و نقل,روز حمل و نقل,j
1211,"(1400, 9, 30)",2021-12-21,"(1443, 5, 17)",جشن شب یلدا,جشن شب یلدا,j
1212,"(1400, 8, 1)",2021-10-23,"(1443, 3, 17)",روز آمار و برنامه ریزی,روز آمار و برنامه ریزی,j
1213,"(1400, 8, 2)",2021-10-24,"(1443, 3, 18)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
1214,"(1400, 8, 7)",2021-10-29,"(1443, 3, 23)",سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,j
1215,"(1400, 8, 8)",2021-10-30,"(1443, 3, 24)",روز نوجوان,روز نوجوان,j
1216,"(1400, 8, 10)",2021-11-01,"(1443, 3, 26)",روز، جشن آبانگان,روز، جشن آبانگان,j
1217,"(1400, 8, 13)",2021-11-04,"(1443, 3, 29)",روز دانش آموز,روز دانش آموز,j
1218,"(1400, 8, 14)",2021-11-05,"(1443, 3, 30)",روز فرهنگ عمومی,روز فرهنگ عمومی,j
1219,"(1400, 8, 15)",2021-11-06,"(1443, 4, 1)",جشن میانه پاییز,جشن میانه پاییز,j
1220,"(1400, 8, 18)",2021-11-09,"(1443, 4, 4)",روز ملی کیفیت,روز ملی کیفیت,j
1221,"(1400, 8, 23)",2021-11-14,"(1443, 4, 9)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
1222,"(1400, 8, 23)",2021-11-14,"(1443, 4, 9)",روز جهانی دیابت [۱۴ november],روز جهانی دیابت,g
1223,"(1400, 8, 24)",2021-11-15,"(1443, 4, 10)",روز کتاب و کتابخوانی,روز کتاب و کتابخوانی,j
1224,"(1400, 8, 25)",2021-11-16,"(1443, 4, 11)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
1225,"(1400, 8, 28)",2021-11-19,"(1443, 4, 14)",روز جهانی فلسفه [۱۹ november],روز جهانی فلسفه,g
1226,"(1400, 8, 28)",2021-11-19,"(1443, 4, 14)",روز جهانی آقایان [۱۹ november],روز جهانی آقایان,g
1227,"(1400, 8, 29)",2021-11-20,"(1443, 4, 15)",روز جهانی کودک [۲۰ november],روز جهانی کودک,g
1228,"(1400, 7, 1)",2021-09-23,"(1443, 2, 16)",آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,j
1229,"(1400, 7, 5)",2021-09-27,"(1443, 2, 20)",روز جهانی جهانگردی [۲۷ september],روز جهانی جهانگردی,g
1230,"(1400, 7, 5)",2021-09-27,"(1443, 2, 20)",اربعین حسینی [٢٠ صفر],اربعین حسینی,h
1231,"(1400, 7, 7)",2021-09-29,"(1443, 2, 22)",روز آتش نشانی و ایمنی,روز آتش نشانی و ایمنی,j
1232,"(1400, 7, 7)",2021-09-29,"(1443, 2, 22)",سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,j
1233,"(1400, 7, 8)",2021-09-30,"(1443, 2, 23)",روزبزرگداشت مولوی,روزبزرگداشت مولوی,j
1234,"(1400, 7, 8)",2021-09-30,"(1443, 2, 23)",روز جهانی ناشنوایان [۳۰ september],روز جهانی ناشنوایان,g
1235,"(1400, 7, 8)",2021-09-30,"(1443, 2, 23)",روز جهانی ترجمه و مترجم [۳۰ september],روز جهانی ترجمه و مترجم,g
1236,"(1400, 7, 9)",2021-10-01,"(1443, 2, 24)",روز جهانی سالمندان [۱ october],روز جهانی سالمندان,g
1237,"(1400, 7, 10)",2021-10-02,"(1443, 2, 25)",روز، جشن مهرگان,روز، جشن مهرگان,j
1238,"(1400, 7, 13)",2021-10-05,"(1443, 2, 28)",روز نیروی انتظامی,روز نیروی انتظامی,j
1239,"(1400, 7, 13)",2021-10-05,"(1443, 2, 28)",رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام [٢٨ صفر],رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام,h
1240,"(1400, 7, 13)",2021-10-05,"(1443, 2, 28)",روز جهانی معلم [۵ october],روز جهانی معلم,g
1241,"(1400, 7, 14)",2021-10-06,"(1443, 2, 29)",روز دامپزشکی,روز دامپزشکی,j
1242,"(1400, 7, 15)",2021-10-07,"(1443, 3, 1)",شهادت امام رضا علیه السلام [٣٠ صفر],شهادت امام رضا علیه السلام,h
1243,"(1400, 7, 16)",2021-10-08,"(1443, 3, 2)",روز ملی کودک,روز ملی کودک,j
1244,"(1400, 7, 16)",2021-10-08,"(1443, 3, 2)",هجرت پیامبر اکرم از مکه به مدینه [١ ربیع الاول],هجرت پیامبر اکرم از مکه به مدینه,h
1245,"(1400, 7, 17)",2021-10-09,"(1443, 3, 3)",روز جهانی پست [۹ october],روز جهانی پست,g
1246,"(1400, 7, 18)",2021-10-10,"(1443, 3, 4)",روز جهانی مبارزه با حکم اعدام [۱۰ october],روز جهانی مبارزه با حکم اعدام,g
1247,"(1400, 7, 19)",2021-10-11,"(1443, 3, 5)",روز جهانی دختر [۱۱ october],روز جهانی دختر,g
1248,"(1400, 7, 20)",2021-10-12,"(1443, 3, 6)",روز بزرگداشت حافظ,روز بزرگداشت حافظ,j
1249,"(1400, 7, 21)",2021-10-13,"(1443, 3, 7)",جشن پیروزی کاوه و فریدون,جشن پیروزی کاوه و فریدون,j
1250,"(1400, 7, 22)",2021-10-14,"(1443, 3, 8)",روز جهانی استاندارد [۱۴ october],روز جهانی استاندارد,g
1251,"(1400, 7, 23)",2021-10-15,"(1443, 3, 9)",روز جهانی عصای سفید [۱۵ october],روز جهانی عصای سفید,g
1252,"(1400, 7, 23)",2021-10-15,"(1443, 3, 9)",شهادت امام حسن عسکری علیه السلام [٨ ربیع الاول],شهادت امام حسن عسکری علیه السلام,h
1253,"(1400, 7, 24)",2021-10-16,"(1443, 3, 10)",روز جهانی غذا [۱۶ october],روز جهانی غذا,g
1254,"(1400, 7, 25)",2021-10-17,"(1443, 3, 11)",روز جهانی ریشه کنی فقر [۱۷ october],روز جهانی ریشه کنی فقر,g
1255,"(1400, 7, 26)",2021-10-18,"(1443, 3, 12)",روز تربیت بدنی و ورزش,روز تربیت بدنی و ورزش,j
1256,"(1400, 7, 27)",2021-10-19,"(1443, 3, 13)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
1257,"(1400, 7, 29)",2021-10-21,"(1443, 3, 15)",روز ملی کوهنورد,روز ملی کوهنورد,j
1258,"(1400, 4, 1)",2021-06-22,"(1442, 11, 12)",جشن آب پاشونک، جشن آغاز تابستان,جشن آب پاشونک، جشن آغاز تابستان,j
1259,"(1400, 4, 1)",2021-06-22,"(1442, 11, 12)",روز اصناف,روز اصناف,j
1260,"(1400, 4, 1)",2021-06-22,"(1442, 11, 12)",ولادت امام رضا علیه السلام [١١ ذوالقعده],ولادت امام رضا علیه السلام,h
1261,"(1400, 4, 5)",2021-06-26,"(1442, 11, 16)",روز جهانی مبارزه با مواد مخدر [۲۶ june],روز جهانی مبارزه با مواد مخدر,g
1262,"(1400, 4, 7)",2021-06-28,"(1442, 11, 18)",انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,j
1263,"(1400, 4, 8)",2021-06-29,"(1442, 11, 19)",روز مبارزه با سلاح‌های شیمیایی و میکروبی,روز مبارزه با سلاح‌های شیمیایی و میکروبی,j
1264,"(1400, 4, 10)",2021-07-01,"(1442, 11, 21)",روز صنعت و معدن,روز صنعت و معدن,j
1265,"(1400, 4, 12)",2021-07-03,"(1442, 11, 23)",شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,j
1266,"(1400, 4, 13)",2021-07-04,"(1442, 11, 24)",روز، جشن تیرگان,روز، جشن تیرگان,j
1267,"(1400, 4, 14)",2021-07-05,"(1442, 11, 25)",روز قلم,روز قلم,j
1268,"(1400, 4, 15)",2021-07-06,"(1442, 11, 26)",جشن خام خواری,جشن خام خواری,j
1269,"(1400, 4, 20)",2021-07-11,"(1442, 12, 1)",شهادت امام محمد تقی علیه السلام [٣٠ ذوالقعده],شهادت امام محمد تقی علیه السلام,h
1270,"(1400, 4, 25)",2021-07-16,"(1442, 12, 6)",روز بهزیستی و تامین اجتماعی,روز بهزیستی و تامین اجتماعی,j
1271,"(1400, 4, 27)",2021-07-18,"(1442, 12, 8)",اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران,j
1272,"(1400, 4, 27)",2021-07-18,"(1442, 12, 8)",شهادت امام محمد باقر علیه السلام [٧ ذوالحجه],شهادت امام محمد باقر علیه السلام,h
1273,"(1400, 4, 29)",2021-07-20,"(1442, 12, 10)",روز عرفه [٩ ذوالحجه],روز عرفه,h
1274,"(1400, 4, 30)",2021-07-21,"(1442, 12, 11)",عید سعید قربان [١٠ ذوالحجه],عید سعید قربان,h
1275,"(1400, 5, 4)",2021-07-26,"(1442, 12, 16)",امرداد ولادت امام علی النقی الهادی علیه السلام [١٥ ذوالحجه],امرداد ولادت امام علی النقی الهادی علیه السلام,h
1276,"(1400, 5, 6)",2021-07-28,"(1442, 12, 18)",امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,j
1277,"(1400, 5, 7)",2021-07-29,"(1442, 12, 19)",امرداد روز، جشن مردادگان,امرداد روز، جشن مردادگان,j
1278,"(1400, 5, 7)",2021-07-29,"(1442, 12, 19)",امرداد عید سعید غدیر خم [١٨ ذوالحجه],امرداد عید سعید غدیر خم,h
1279,"(1400, 5, 8)",2021-07-30,"(1442, 12, 20)",امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,j
1280,"(1400, 5, 9)",2021-07-31,"(1442, 12, 21)",امرداد ولادت امام موسی کاظم علیه السلام [٢٠ ذوالحجه],امرداد ولادت امام موسی کاظم علیه السلام,h
1281,"(1400, 5, 10)",2021-08-01,"(1442, 12, 22)",امرداد جشن چله تابستان,امرداد جشن چله تابستان,j
1282,"(1400, 5, 10)",2021-08-01,"(1442, 12, 22)",امرداد آغاز هفته جهانی شیردهی [۱ august],امرداد آغاز هفته جهانی شیردهی,g
1283,"(1400, 5, 14)",2021-08-05,"(1442, 12, 26)",امرداد صدور فرمان مشروطیت,امرداد صدور فرمان مشروطیت,j
1284,"(1400, 5, 17)",2021-08-08,"(1442, 12, 29)",امرداد روز خبرنگار,امرداد روز خبرنگار,j
1285,"(1400, 5, 22)",2021-08-13,"(1443, 1, 5)",امرداد روز جهانی چپ دست‌ها [۱۳ august],امرداد روز جهانی چپ دست‌ها,g
1286,"(1400, 5, 26)",2021-08-17,"(1443, 1, 9)",امرداد سالروز ورود آزادگان سرافراز به وطن,امرداد سالروز ورود آزادگان سرافراز به وطن,j
1287,"(1400, 5, 27)",2021-08-18,"(1443, 1, 10)",امرداد تاسوعای حسینی [٩ محرم],امرداد تاسوعای حسینی,h
1288,"(1400, 5, 28)",2021-08-19,"(1443, 1, 11)",امرداد عاشورای حسینی [١٠ محرم],امرداد عاشورای حسینی,h
1289,"(1400, 5, 28)",2021-08-19,"(1443, 1, 11)",امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,j
1290,"(1400, 5, 28)",2021-08-19,"(1443, 1, 11)",امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,j
1291,"(1400, 5, 28)",2021-08-19,"(1443, 1, 11)",امرداد روز جهانی عکاسی [۱۹ august],امرداد روز جهانی عکاسی,g
1292,"(1400, 5, 30)",2021-08-21,"(1443, 1, 13)",امرداد شهادت امام زین العابدین علیه السلام [١٢ محرم],امرداد شهادت امام زین العابدین علیه السلام,h
1293,"(1400, 3, 1)",2021-05-22,"(1442, 10, 10)",روز بهره وری و بهینه سازی مصرف,روز بهره وری و بهینه سازی مصرف,j
1294,"(1400, 3, 1)",2021-05-22,"(1442, 10, 10)",روز بزرگداشت ملاصدرا,روز بزرگداشت ملاصدرا,j
1295,"(1400, 3, 3)",2021-05-24,"(1442, 10, 12)",فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی,فتح خرمشهر در عملیات بیت المقدس و روز مقاومت، ایثار و پیروزی,j
1296,"(1400, 3, 4)",2021-05-25,"(1442, 10, 13)",روز دزفول، روز مقاومت و پایداری,روز دزفول، روز مقاومت و پایداری,j
1297,"(1400, 3, 6)",2021-05-27,"(1442, 10, 15)",روز، جشن خردادگان,روز، جشن خردادگان,j
1298,"(1400, 3, 14)",2021-06-04,"(1442, 10, 23)",رحلت حضرت امام خمینی,رحلت حضرت امام خمینی,j
1299,"(1400, 3, 15)",2021-06-05,"(1442, 10, 24)",قیام ۱۵,قیام ۱۵,j
1300,"(1400, 3, 15)",2021-06-05,"(1442, 10, 24)",روز جهانی محیط زیست [۵ june],روز جهانی محیط زیست,g
1301,"(1400, 3, 16)",2021-06-06,"(1442, 10, 25)",شهادت امام جعفر صادق علیه السلام [٢٥ شوال],شهادت امام جعفر صادق علیه السلام,h
1302,"(1400, 3, 20)",2021-06-10,"(1442, 10, 29)",روز جهانی صنایع دستی [۱۰ june],روز جهانی صنایع دستی,g
1303,"(1400, 3, 22)",2021-06-12,"(1442, 11, 2)",ولادت حضرت معصومه سلام الله علیها و روز دختران [١ ذوالقعده],ولادت حضرت معصومه سلام الله علیها و روز دختران,h
1304,"(1400, 3, 22)",2021-06-12,"(1442, 11, 2)",روز جهانی مبارزه با کار کودکان [۱۲ june],روز جهانی مبارزه با کار کودکان,g
1305,"(1400, 3, 24)",2021-06-14,"(1442, 11, 4)",روز جهانی اهدای خون [۱۴ june],روز جهانی اهدای خون,g
1306,"(1400, 3, 25)",2021-06-15,"(1442, 11, 5)",روز ملی گل وگیاه,روز ملی گل وگیاه,j
1307,"(1400, 3, 27)",2021-06-17,"(1442, 11, 7)",روز جهاد کشاورزی,روز جهاد کشاورزی,j
1308,"(1400, 3, 27)",2021-06-17,"(1442, 11, 7)",روز جهانی بیابان زدایی [۱۷ june],روز جهانی بیابان زدایی,g
1309,"(1400, 2, 1)",2021-04-21,"(1442, 9, 9)",روز بزرگداشت سعدی,روز بزرگداشت سعدی,j
1310,"(1400, 2, 2)",2021-04-22,"(1442, 9, 10)",جشن گیاه آوری؛ روز زمین [۲۲ april],جشن گیاه آوری؛ روز زمین,g
1311,"(1400, 2, 3)",2021-04-23,"(1442, 9, 11)",روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,j
1312,"(1400, 2, 8)",2021-04-28,"(1442, 9, 16)",ولادت امام حسن مجتبی علیه السلام [١٥ رمضان],ولادت امام حسن مجتبی علیه السلام,h
1313,"(1400, 2, 9)",2021-04-29,"(1442, 9, 17)",روزشوراها,روزشوراها,j
1314,"(1400, 2, 9)",2021-04-29,"(1442, 9, 17)",روز جهانی روانشناس و مشاور,روز جهانی روانشناس و مشاور,j
1315,"(1400, 2, 10)",2021-04-30,"(1442, 9, 18)",جشن چهلم نوروز؛ روز ملی خلیج فارس,جشن چهلم نوروز؛ روز ملی خلیج فارس,j
1316,"(1400, 2, 11)",2021-05-01,"(1442, 9, 19)",روزجهانی کارگر [۱ may],روزجهانی کارگر,g
1317,"(1400, 2, 11)",2021-05-01,"(1442, 9, 19)",شب قدر [١٨ رمضان],شب قدر,h
1318,"(1400, 2, 12)",2021-05-02,"(1442, 9, 20)",شهادت استاد مرتضی مطهری، روزمعلم,شهادت استاد مرتضی مطهری، روزمعلم,j
1319,"(1400, 2, 12)",2021-05-02,"(1442, 9, 20)",ضربت خوردن حضرت علی علیه السلام [١٩ رمضان],ضربت خوردن حضرت علی علیه السلام,h
1320,"(1400, 2, 14)",2021-05-04,"(1442, 9, 22)",شهادت حضرت علی علیه السلام [٢١ رمضان],شهادت حضرت علی علیه السلام,h
1321,"(1400, 2, 15)",2021-05-05,"(1442, 9, 23)",جشن میانه بهار/جشن بهاربد؛ روز شیراز,جشن میانه بهار/جشن بهاربد؛ روز شیراز,j
1322,"(1400, 2, 15)",2021-05-05,"(1442, 9, 23)",شب قدر [٢٢ رمضان],شب قدر,h
1323,"(1400, 2, 15)",2021-05-05,"(1442, 9, 23)",روز جهانی ماما [۵ may],روز جهانی ماما,g
1324,"(1400, 2, 17)",2021-05-07,"(1442, 9, 25)",روز اسناد ملی و میراث مکتوب,روز اسناد ملی و میراث مکتوب,j
1325,"(1400, 2, 18)",2021-05-08,"(1442, 9, 26)",روز جهانی صلیب سرخ و هلال احمر [۸ may],روز جهانی صلیب سرخ و هلال احمر,g
1326,"(1400, 2, 23)",2021-05-13,"(1442, 10, 1)",عید سعید فطر [١ شوال],عید سعید فطر,h
1327,"(1400, 2, 24)",2021-05-14,"(1442, 10, 2)",تعطیل به مناسبت عید سعید فطر [٢ شوال],تعطیل به مناسبت عید سعید فطر,h
1328,"(1400, 2, 25)",2021-05-15,"(1442, 10, 3)",روز بزرگداشت فردوسی,روز بزرگداشت فردوسی,j
1329,"(1400, 2, 27)",2021-05-17,"(1442, 10, 5)",روز ارتباطات و روابط عمومی,روز ارتباطات و روابط عمومی,j
1330,"(1400, 2, 28)",2021-05-18,"(1442, 10, 6)",روز بزرگداشت حکیم عمر خیام,روز بزرگداشت حکیم عمر خیام,j
1331,"(1400, 2, 28)",2021-05-18,"(1442, 10, 6)",روز جهانی موزه و میراث فرهنگی [۱۸ may],روز جهانی موزه و میراث فرهنگی,g
1332,"(1400, 1, 1)",2021-03-21,"(1442, 8, 8)",جشن نوروز/جشن سال نو,جشن نوروز/جشن سال نو,j
1333,"(1400, 1, 2)",2021-03-22,"(1442, 8, 9)",عیدنوروز,عیدنوروز,j
1334,"(1400, 1, 3)",2021-03-23,"(1442, 8, 10)",عیدنوروز,عیدنوروز,j
1335,"(1400, 1, 4)",2021-03-24,"(1442, 8, 11)",عیدنوروز,عیدنوروز,j
1336,"(1400, 1, 5)",2021-03-25,"(1442, 8, 12)",ولادت علی اکبر علیه السلام و روز جوان [١١ شعبان],ولادت علی اکبر علیه السلام و روز جوان,h
1337,"(1400, 1, 6)",2021-03-26,"(1442, 8, 13)",روز امید، روز شادباش نویسی,روز امید، روز شادباش نویسی,j
1338,"(1400, 1, 6)",2021-03-26,"(1442, 8, 13)",زادروز آشو زرتشت، ابرانسان بزرگ تاریخ,زادروز آشو زرتشت، ابرانسان بزرگ تاریخ,j
1339,"(1400, 1, 7)",2021-03-27,"(1442, 8, 14)",روز جهانی تئاتر [۲۷ march],روز جهانی تئاتر,g
1340,"(1400, 1, 9)",2021-03-29,"(1442, 8, 16)",ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [١٥ شعبان],ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,h
1341,"(1400, 1, 10)",2021-03-30,"(1442, 8, 17)",جشن آبانگاه,جشن آبانگاه,j
1342,"(1400, 1, 12)",2021-04-01,"(1442, 8, 19)",روز جمهوری اسلامی,روز جمهوری اسلامی,j
1343,"(1400, 1, 13)",2021-04-02,"(1442, 8, 20)",جشن سیزده به در,جشن سیزده به در,j
1344,"(1400, 1, 17)",2021-04-06,"(1442, 8, 24)",سروش روز، جشن سروشگان,سروش روز، جشن سروشگان,j
1345,"(1400, 1, 18)",2021-04-07,"(1442, 8, 25)",روز جهانی بهداشت [۷ april],روز جهانی بهداشت,g
1346,"(1400, 1, 19)",2021-04-08,"(1442, 8, 26)",روز، جشن فروردینگان,روز، جشن فروردینگان,j
1347,"(1400, 1, 23)",2021-04-12,"(1442, 8, 30)",روز دندانپزشک,روز دندانپزشک,j
1348,"(1400, 1, 25)",2021-04-14,"(1442, 9, 2)",روز بزرگداشت عطار نیشابوری,روز بزرگداشت عطار نیشابوری,j
1349,"(1400, 1, 29)",2021-04-18,"(1442, 9, 6)",روز ارتش جمهوری اسلامی ایران,روز ارتش جمهوری اسلامی ایران,j
1350,"(1400, 1, 30)",2021-04-19,"(1442, 9, 7)",روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,j
1351,"(1400, 6, 1)",2021-08-23,"(1443, 1, 15)",روز بزرگداشت ابوعلی سینا و روز پزشک,روز بزرگداشت ابوعلی سینا و روز پزشک,j
1352,"(1400, 6, 2)",2021-08-24,"(1443, 1, 16)",آغاز هفته دولت,آغاز هفته دولت,j
1353,"(1400, 6, 4)",2021-08-26,"(1443, 1, 18)",زادروز داراب (کوروش),زادروز داراب (کوروش),j
1354,"(1400, 6, 4)",2021-08-26,"(1443, 1, 18)",روز، جشن شهریورگان,روز، جشن شهریورگان,j
1355,"(1400, 6, 4)",2021-08-26,"(1443, 1, 18)",روز کارمند,روز کارمند,j
1356,"(1400, 6, 5)",2021-08-27,"(1443, 1, 19)",روز بزرگداشت محمدبن زکریای رازی و روز داروساز,روز بزرگداشت محمدبن زکریای رازی و روز داروساز,j
1357,"(1400, 6, 8)",2021-08-30,"(1443, 1, 22)",انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,انفجار در دفتر نخست‌وزیری جمهوری اسلامی ایران، روز مبارزه با تروریسم,j
1358,"(1400, 6, 11)",2021-09-02,"(1443, 1, 25)",روزصنعت چاپ,روزصنعت چاپ,j
1359,"(1400, 6, 13)",2021-09-04,"(1443, 1, 27)",روز بزرگداشت ابوریحان بیرونی,روز بزرگداشت ابوریحان بیرونی,j
1360,"(1400, 6, 13)",2021-09-04,"(1443, 1, 27)",روز تعاون,روز تعاون,j
1361,"(1400, 6, 17)",2021-09-08,"(1443, 2, 1)",قیام ۱۷,قیام ۱۷,j
1362,"(1400, 6, 19)",2021-09-10,"(1443, 2, 3)",درگذشت آیت الله سید محمود طالقانی,درگذشت آیت الله سید محمود طالقانی,j
1363,"(1400, 6, 19)",2021-09-10,"(1443, 2, 3)",روز جهانی پیشگیری از خودکشی [۱۰ september],روز جهانی پیشگیری از خودکشی,g
1364,"(1400, 6, 20)",2021-09-11,"(1443, 2, 4)",حمله به برج‌های دوقلوی مرکز تجارت جهانی [۱۱ september],حمله به برج‌های دوقلوی مرکز تجارت جهانی,g
1365,"(1400, 6, 21)",2021-09-12,"(1443, 2, 5)",روز سینما,روز سینما,j
1366,"(1400, 6, 21)",2021-09-12,"(1443, 2, 5)",روز گرامیداشت برنامه نویسان [۱۲ september],روز گرامیداشت برنامه نویسان,g
1367,"(1400, 6, 27)",2021-09-18,"(1443, 2, 11)",روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,روز شعر و ادب پارسی و روز بزرگداشت استاد شهریار,j
1368,"(1400, 6, 30)",2021-09-21,"(1443, 2, 14)",روز گفتگوی تمدنها,روز گفتگوی تمدنها,j
1369,"(1400, 6, 30)",2021-09-21,"(1443, 2, 14)",روز جهانی صلح [۲۱ september],روز جهانی صلح,g
1370,"(1400, 6, 31)",2021-09-22,"(1443, 2, 15)",آغاز هفته دفاع مقدس,آغاز هفته دفاع مقدس,j
1371,"(1401, 8, 1)",2022-10-23,"(1444, 3, 27)",روز آمار و برنامه ریزی,روز آمار و برنامه ریزی,j
1372,"(1401, 8, 7)",2022-10-29,"(1444, 4, 4)",سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,سالروز ورود کوروش بزرگ به بابل در سال ۵۳۹ پیش از میلاد,j
1373,"(1401, 8, 8)",2022-10-30,"(1444, 4, 5)",روز نوجوان,روز نوجوان,j
1374,"(1401, 8, 10)",2022-11-01,"(1444, 4, 7)",روز، جشن آبانگان,روز، جشن آبانگان,j
1375,"(1401, 8, 11)",2022-11-02,"(1444, 4, 8)",ولادت امام حسن عسکری علیه السلام [٨ ربیع الثانی],ولادت امام حسن عسکری علیه السلام,h
1376,"(1401, 8, 13)",2022-11-04,"(1444, 4, 10)",روز دانش آموز,روز دانش آموز,j
1377,"(1401, 8, 13)",2022-11-04,"(1444, 4, 10)",وفات حضرت معصومه سلام الله علیها [١٠ ربیع الثانی],وفات حضرت معصومه سلام الله علیها,h
1378,"(1401, 8, 14)",2022-11-05,"(1444, 4, 11)",روز فرهنگ عمومی,روز فرهنگ عمومی,j
1379,"(1401, 8, 15)",2022-11-06,"(1444, 4, 12)",جشن میانه پاییز,جشن میانه پاییز,j
1380,"(1401, 8, 18)",2022-11-09,"(1444, 4, 15)",روز ملی کیفیت,روز ملی کیفیت,j
1381,"(1401, 8, 23)",2022-11-14,"(1444, 4, 20)",روز جهانی دیابت [۱۴ november],روز جهانی دیابت,g
1382,"(1401, 8, 24)",2022-11-15,"(1444, 4, 21)",روز کتاب و کتابخوانی,روز کتاب و کتابخوانی,j
1383,"(1401, 8, 28)",2022-11-19,"(1444, 4, 25)",روز جهانی فلسفه [۱۹ november],روز جهانی فلسفه,g
1384,"(1401, 8, 28)",2022-11-19,"(1444, 4, 25)",روز جهانی آقایان [۱۹ november],روز جهانی آقایان,g
1385,"(1401, 8, 29)",2022-11-20,"(1444, 4, 26)",روز جهانی کودک [۲۰ november],روز جهانی کودک,g
1386,"(1401, 11, 1)",2023-01-21,"(1444, 6, 28)",زادروز فردوسی,زادروز فردوسی,j
1387,"(1401, 11, 2)",2023-01-22,"(1444, 6, 29)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
1388,"(1401, 11, 3)",2023-01-23,"(1444, 7, 1)",ولادت امام محمد باقر علیه السلام [١ رجب],ولادت امام محمد باقر علیه السلام,h
1389,"(1401, 11, 5)",2023-01-25,"(1444, 7, 3)",جشن نوسره,جشن نوسره,j
1390,"(1401, 11, 5)",2023-01-25,"(1444, 7, 3)",شهادت امام علی النقی الهادی علیه السلام [٣ رجب],شهادت امام علی النقی الهادی علیه السلام,h
1391,"(1401, 11, 10)",2023-01-30,"(1444, 7, 8)",جشن سده,جشن سده,j
